company Name,Question
Beachbody, How would you like to use data to change the world.
Yelp, What is an n-gram?
Natera," Imagine you have N pieces of rope in a bucket. You reach in and grab one end-piece, then reach in and grab another end-piece, and tie those two together. What is the expected value of the number of loops in the bucket?"
Lenovo, PySPark
Lenovo, Explain your project
Lenovo, Have you used in a professional project before
Lenovo, Which performs better?
Lenovo, Which algorithms are used for clustering?
Lenovo," Given a string, count the number of words."
Omnicom," Providing a :60 window for answering, asked: Verbally construct a naive bases algorithm for predicting the color of a card, given provided sets of conditional probabilities "
Facebook, Business sense. A question on how to assess impact of a hypothetical features and possible problems. 
C3.ai, Why you want to work at C3
USAA, How does the role of a data scientist play in the overall business plan?
GuardianAnalytics," Given an array of integers, find the maximum cumulative sum of a sub-set of the array"
Bosch," Something close to the following, but a little more complicated: How many people must be gathered together in a room, before you can be certain that there is a greater than 50/50 chance that at least two of them have the same birthday? "
CivisAnalytics," Analyze, explain, and present accompanying reading material."
McKesson," More about ML algorithms like KNN, Random forest, DT, Neural net, Reinforcement Learning, cloud related questions like AWS s3, Databricks etc."
Facebook, What teams are you interested in at Facebook?
Allstate, How would you calculate the number of draws you need to take so that you get 2 jellybeans of the same kind from a jar full of 3 kinds of jellybeans?
MassachusettsGeneralHospital," Given an existing set of purchases, how do you predict the next item to purchase of a new basket?"
Avant, How do you deal with missing values using XGBoost
HealthTap," There are 25 horses. You can race any 5 of them at once, and all you get is the order they finished. How many races would you need to find the 3 fastest horses?"
HERETechnologies, Give an hour long presentation on something you've done.
Square," (The interview drew a hypothetical histogram of number of purchases per user.) There are a lot of users that make a small number of purchases, and few users that make a large number of purchases. So the histogram is peaked near zero and has a tail off to the left. Based on this, what do you expect the plot of average revenue per user to look like?"
SmartNews, Coding challenge - Online
RiotGames, Q. What is your favorite game?
MECLABS, Why did you use this process to answer excel question?
ItlizeGlobal, What is supervise and what is unsupervise
Tesla," There are three questions in the interview. 1. Probability questions: There are 100 product and 25 of them is bad. What is the confident interval. 2. Maximum likelihood questions: solve exponential function and get the maximum likelihood estimator. 3. Use ""dplyr"" package in R to solve a case."
Ericsson-Worldwide," Questions were data preparation, feature engineering and modeling focus. Some of questions were tradeoff having one best choice. Expect Programming in Python. It is closed book and note. "
WeatherAnalytics, Tell us about projects you worked on.
Indeed, Fill out a survey. This was sent after telling me that they would not go through with application because they had high volume of high quality applicants. 
FirstDerivatives, Willing to travel?
RedVentures, How do you handle missing values in a dataset?
FirstDerivatives, What skills do you have that will help you succeed at FD? 
Facebook, What is probability of getting one pair of card from 52 deck of cards? How would you improve work hours?
FirstDerivatives, What your expectations from FD?
ThermoFisherScientific, About Experience
Jefferies, How do you build a recommendation algo for securities?
Involvio," they will ask questions, by looking at the question from internet"
Mapbox," Open-ended questions, Exploratory analysis and Inferential analysis with ML modeling."
Amazon," Asked about Ito's formula as stochastic calculus is on the resume, although it's totally unrelated to the job. "
FirstDerivatives, What does FD do? News? Clients? Delta platform software ? Kdb+ Database? The Capital Market training programme? 
FirstDerivatives, Why FD? What is your motivation to apply to FD? 
Indigo, Why do you want to leave your current position?
FirstDerivatives," Background: degree, GPA, .."
JanssenResearch&Development, Mostly going through your resume and typical interview questions. No coding or algorithm questions were asked. - Tell me about your research. - Why are you interested in Data Science? - Describe how you overcame a challenge in your work.
Upstart, how to find max return given a sequence stock price
CiBOTechnologies, They gave coding assessment and ask statistic questions
Opendoor, Code the Game of Life
PaperlessPost, What is a API? What is a ETL Pipeline?
ThoughtTrace, How do you handle difficult conversations?
Wayfair," In a condescending tone, why do you think you can be a data scientist?"
InsightDataScience, Give me a high-level introduction of your research
DailyPay," Technical phone screen: * Explain Lasso vs. Ridge and when you would use one over the other * Explain Bias vs. Variance * Explain: SQL: inner, outer, left, right * Explain SQL: what is group by and give an example * How to deal with overfitting * Give an example where you didn't have enough data Onsite: Bunch of behavioral questions and a few case study. For example, if there are 3 marketing techniques and 15 companies how would you determine which marketing technique is ‘best’? Assume you have no other information"
OnDeck, Like basic python questions and basic sql query questions.
Groupon," Behavioral questions.. reason for job change, etc"
OnDeck," Like how to implement statistics mean function in python, how to flatten a nested list in Python, and also some SQL easy questions, like basic select query"
IntegraFEC, Mainly about past experience and how I had used analytics. Also behavioral. There was also a python program round where I was told to write and describe the pseudo code.
StubHub, What is a statistical method to control the number of features for large sparse matrices?
Yodle," You are playing a game of HORSE with a replica of yourself, so your shooting percentage is probability p (for the both of you). The rules are that if you make a basket and your replica misses, then you win the game. If your replica makes the basket and you miss, then you lose. If you both miss, then you start over again. What is the expected probability that you will win the game?"
Sabre, Why Dallas 
Sabre, Coding questions
Facebook, What is your favorite product and why? What could be changed about that product and how would you change it? 
Facebook," Marketplace added a feature, how would you test the impact of that feature?"
Fitbit," There were a lot of brainstorming questions. From the brainstorming questions several more in-depth, technical questions were derived. One of the on-site interviews involves white board coding."
IBM, Describe precision and recall.
LibertyLending," Past experiences and application with data wrangling, feature engineering, PCA, neural networks, modeling algos, NLP, naive bayes, etc."
QuickenLoans, Why Quicken Loans?
LibertyLending," Past lending experiences, including UW, default models."
LibertyLending," Typical soft skill questions. Maybe some math, stat, probability questions."
IBM, Give me an example of a successful teaming situation you have had
DisruptorBeam, Have you played video game xyz? (Apparently this was a requirement not stated on job description)
Amazon, A question related to chain rule of a neural network.
Crowe, Critique a python function
Crowe, When you would use a particular algorithm (k-means clustering; random forest)
LibertyLending," Python question, largely about pandas, numpy, and writing functions."
6sense," Takehome exam with very messy data that had very high cardinality. Even the hold out set may have categories that your train set has not seen yet. A lot of observation of the data is necessary. After that, you go on site and get 3 software coding interviews. Pretty heavy duty coding questions. E.g. find all possible ways to evaluate the multiplication of 4 numbers in a N by N matrix. Also, map reduce and deep recursion problem."
Goodyear, Tell me your background. Some basic stats concepts and associated applications. 
Facebook, 3. How would you change an experiment (FB introducing stories to Instagram) to account for network effect?
Glassdoor, Resume and earlier projects' related questions
Glassdoor," Questions around - Product intuition, Basic stats and model evaluation metrics, Probability and puzzles"
AppliedUnderwriters, Five things you look for in a company
LinkedIn," Basic modeling, statistics"
Vizient, Mostly technical questions related to your work experience and presentation given. Questions are straight and to the point. They need person with good presentation skills. Classical stat and machine learning problems.
Facebook, 2. How would you estimate the prevalence of fake news on FB? Define a metric.
MilliporeSigma, How do you see bioinformatics changing in the next few years?
Facebook," 1. FB has hired raters to rate ads. 80% are careful rates and rate 60% of the ads as good and 40% as bad, 20% are lazy raters and rate 100% ads as good. What is the probability that an ad is rated good? Given that 3 ads have been rated as good, what is the probability that they were rated by a lazy rater? Given that n ads have been rated as good, what is the probability that they were rated by a lazy rater? You want to classify raters as careful/lazy, how would you do that using all the probabilities and ideas discussed above (open ended question)?"
Uptake, Walk me through one of your recent projects.
FulcrumAnalytics," Tell me about your background, some brain teasers, ML and stats questions, SQL and Python/R Whiteboard questions."
Asana," The data challenge is pretty standard, give you a data set and let you build a predictive model and put together some insights. Phone and onsite interviews are all technical interviews. Some statistics (sampling, hypothesis testing, power calculation, etc.), some product sense (whether to launch some features, why some metric changed, etc.), also a CS-like question. "
CapitalOne," Biz case study interview, behaviorial, technical case study, technical interview."
Appzen," Several image classification, noise removal, and transformation questions."
Twitter," Typical for more engineering focused Data Science. Lots of coding problems, a few ML and stats theory, a few applied ML questions, and some information retrieval and search questions. "
CorrelationOne, related to predicting stock values.
AdvisoryBoard, How are you familiar with R?
BigLots," If you see food that is close to being out of date or damaged on the shelf, what do you do?"
DemystData, Here is a data set. Please analyze it and make a presentation that you would feel comfortable showing to a client. Here is another data set. Please walk me through how you would clean it. What company do you most admire?
Wish, Basic question about String manipulation.
BostonConsultingGroup, Your conclusion is totally wrong. It's a waste of time to read your report. 
Moz," Compute fibonacci numbers, find equilibrium point."
Plated, how would you design such recommendation system and follow up questions
Accenture, Very basic Python questions and a high school level probability question
Groupon, Find prime numbers less than 1 billion using map reduce framework. (answer was expected in less than 30 seconds!!)
FICO, What is SVM
Coop, why do you want this job
IBM, What do you know about Tensorflow?
ViralLaunch," If you were trying to sell reusable silicone straws but the whole product listing is comprised about how plastic straws are bad for the environment, how would an text classifier detect that the item is silicon straws instead of plastic?"
Coop, why do u want to work in this company?
Affirm," What are l_1 and l_2 regularization, and how are they different?"
Coop, personal presentation
BoweryFarming, Most questions related to thinking through problems typical to the role and discussing possible solutions
Pearson," (Alg complexity) What is a time complexity of the best performing sorting algorithm for sorting large amount of numbers? (Data structures): what is the difference between ""list"" and ""set""?"
RealtyOneGroup, In three interviews I did not get a single technical question.
Pearson," (SQL) You need to JOIN 2 tables together, TA, TB, in such a way that you get every raw of TA at least once at the result, which JOIN is that ? (ML): need to train a supervised learning model , but you have only a small amount of data. Which technique to use, to both train and evaluate performance of the model?"
Pearson," (Statistics) If you have a hand full of coins, and you toss them to the table, what distribution will describe the number of coins landed ""heads up"" ? (General algorithm) - Given an positive input n, describe a function that will output n-th Fibonacci number (just n-th from sequence 0,1,1,2,3,5,8,etc)"
Pearson," (Probability) Smb has 2 kids, at least one is a girl. What is a probability that Smb has 2 girls? (General algorithm design) Describe an algorithm that will find a global maximum of a well-behaved function (means 1st, 2nd derivatives are defined) ?"
Pearson," (Linux)- What command to use to find every instance of a specific word inside many text files in the folder? (Binary arithmetic)- If you have ""unsigned integer"" and you perform binary right shift by one, and a ""least significant bit"" is on the right, what happen to the number?"
SoundCloud," ""For a user X, recommend 5 playlists they would like that they haven’t heard before. You can attempt this via SQL or any other programming language of your choice. Please explain your logic."""
SimonData, Tell me how logistic regression works? 
CapitalOne, How to set threshold for credit card fraud detection
Facebook," Flip one coin 10 times and obtain one H, what is the p value and null hypothesis?"
RootMetrics, How would I approach a problem if I was asked to use a technique I hadn't heard of before?
SparkCognition, How does the random forest algorithm work?
Granular, An emphasis on rapid analysis and model development.
PhysiciansMutualInsurance, Behavioral questions Questions on analysis Questions on SAS
GEICO," Machine learning concepts, definitions. Different types of clustering analyses"
Wayfair, Match furniture in a scene given query pictures plus computer vision basics.
Wayfair, Link different devices of the same user plus machine learning basics.
Uber, Cant reveal the question. I can only say that they ask candidates to make incorrect assumptions about data.
Workday," Both of them are from Leetcode, which are (I think) pretty difficult to Data Scientist position, especially for the machine learning and statistical modeling background."
Indeed," The initial phone screen asked very basic interview questions (Why are you looking for a new job? Why Indeed? What's your background?). The data science project I was given consisted of a large dataset on salaries (about 200k rows). I was asked to use machine learning to predict salaries and share my code as well as predicted outcomes. Additionally, nine questions were asked about the project. These questions asked about the models used, the reasoning behind them and the error rates. Overall, the data science project was complicated as it was a large data set to run complex models on."
Salesforce, Explain specific Machine Learning algo/technique for non-technical people.
Wayfair, A Leetcode problem about arrays.
Roche, Resume related Questions
Roche, why Roche? Greatest achievement
C3.ai, - What is machine learning? - Graph and matrix operation. - Linear regression theory and derivation.
CiscoSystems, They have been asked for present project.
NASAAmesResearchCenter, How would you solve this problem?
"Quora,Inc.", What metric would you use to measure a search tool bar change?
OnDeck, Talk about the projects you worked on 
Pearson, General: Do you have an experience with going from quick and dirty prototyping to real products?
Pearson," Python: Version of Python used, and why? Which unit tests have you used on Python projects? Have you used scikit-learn library? Which algorithms have you used from there? What is a list comprehension in python, and how you use it? Are you familiar with ""generator comprehension""? What is PEP8? What ""pass"" does in python? What python libraries have you used? How to resolve inter-dependencies of libraries? What is python ""with"" statement?"
Pearson, ML: What is a difference between supervised and unsupervised learning? Give an example of both. How SVM algorithm works (general description)? How to make sure you are not overfitting while training a model? How you measure accuracy or the error rates? Spark: What is RDD? Why would you ever cache an RDD?
Zillow," Compute median absolute error and percent of estimates within 5%, 10% and 20% of the sales price."
Humana, What was the angle between the clock hands at 3:15.
"Quora,Inc.", Describe your previous work?
CreditSesame," Machine learning questions, related to dealing with imbalanced data, and also gradient descent. (Again, don't remember the details.)"
CarGurus, How to avoid dead lock
CreditSesame," There may have been a brief discussion on A/B testing during one of the interviews. They don't expect you to have domain knowledge about credit, which was a relief."
WeddingWire, Why did you choose a linear SVM classifier for this analysis?
AgilOne, in what cases would you utilize HMM vs. PGM?
CreditSesame, Whiteboarding SQL involving 3 tables and joining them. Won't give details due to NDA (and also I don't remember the details).
CarGurus, What is heap
Uptake, Explain a project I had worked on as well as metrics for measurement. Also asked about dealing with missing data.
CKMAnalytix, Size the tobacco market in the united states
Apple, How would you conduct an A/B test?
CKMAnalytix, If you could have any dataset on any topic (resources/collection methods NOT a factor) what would the dataset look like and what would you do with it.
Uptake, Generic HR questions and some questions about my latest Kaggle contest.
CapitalOne," Case study - what features would you use to determine credit risk given transaction history from the past two years. Explain a simple map reduce problem Read in a very large file of tab delimited numbers using python and count frequency of each number (don’t overthink this. Use python done in a few lines) Whats more likely: Getting at least one six in 6 rolls, at least two sixes in 12 rolls or at least 100 sixes in 600 rolls? Find all the combinations of change you can for a given amount "
Facebook, What is the expectation of the variance?
Kforce, What my ideal job is
KPMG, Presentation
Verizon, What do you expect from management as a member of the team?
QuickenLoans, What type of programming languages did you use in your current job? What do you know about QL? What was the most challenging thing that you ever come across in your job?
LockerDome, Why are you interested in the advertisement industry
LockerDome," If you had more time, what would you do differently? (in continuation to the project question)"
LockerDome, Tell me about a project that you're most proud of
ElectricAI, What gets you excited to come into work in the morning?
LockerDome, Tell me something about yourself
Galvanize, They asked if I could create an anagram checker using python within 30 minutes
CablevisionSystems," Your projects, your working experience. Basic fit questions."
Genentech, Basic SQL query and split a word into basic components for a function.
BoozAllenHamilton, Why do you want to work at Booz Allen?
HumanAPI, Talk about your previous work.
ActiveCampaign," Background, motivations, and etc."
ItlizeGlobal, Tell me about your experience? What are the data issues have you faced during work? How do you provide predictive analytics in your project? What are the ML models you have used?
CivisAnalytics, What is one of the world’s biggest problems and how would you help solve it using big data?
eBay, What is the total length of all the roads in San Francisco?
Thomas&Betts, taken from internet
Windfall, Be prepared to wow them with stories on how you pushed models to production with large data. The job mainly is to really take your time with BigQuery for EDA and data quality checks since data is their product.
Anametrix, Basic maths questions
BranchInternational, Sorting algorithm and determining duplicates. Definitely had a second part but I spent too much time on solving the first
eBay," Case study, Ebay has to identify the cameras from the other junk like tripods, cables and batteries what is the approach? Data looks like Title, description of the product, Price, Image,...etc"
BranchInternational, How would you create a database structure so that you can recreate history for past models? How would you save the parameters and the results?
CKMAnalytix, What's the biggest challenge in your teamwork?
CKMAnalytix, What do you see yourself doing in five years
LoyaltyOne," Linear regression, Bayesian statistics"
AirLiquide, Asked to code live with somebody looking over your shoulder
Houzz, How would you set up an A/B test?
Indeed, onsite coding using their laptop
CapitalOne, Tell me about your experience in neural network?
Wayfair, Attribution model
Wayfair, Recommendation system
Automatic," If the coefficient of an independent variable in linear regression has an opposite sign than it should be, what might be the reason"
FirstDerivatives, Q: What do you know about the CMTP program?
Walmart, some questions about my NLP project
FirstDerivatives, Q: Can you tell us about our kdb products?
FirstDerivatives, Q: Have you read anything about us on the news lately?
FirstDerivatives, Q: What do you know about First Derivates?
Wayfair, Choose list variable given probability of each variable
Experian," Bayes rule, probability"
UPMC, They asked a lot about statistics and if I had much experience with large data sets.
Uber," If you were rolling out Uber ride passes for the first time, how would you set the prices?"
FidelityInvestments, What would R output if these two matrices were multiplied? (non-matching dimensions)
FidelityInvestments, How would you make a binary classifier work for multi-class classification?
FidelityInvestments, What are your favorite packages in R?
Airbnb, Why do you think we implemented this feature? 
Apple, The asked a question about set cover. 
UrbanOutfitters, Describe a hectic day
Thinkeco, understanding datasets and the energy sector
zulily, How do you estimate standard deviation of a population
zulily, Design an AutoML system.
Knewton, Write efficient code to find intersections between two lists.
Symantec, Take home predictive modeling assignment on lending data. 
Assurant, What are the assumptions of linear regression?
Assurant, How do you forecast a time series variable?
Apple, My background and specially internship experiences
BoozAllenHamilton, Experience with databases
LiveRamp, There were a few questions about encoding/decoding of various types of data.
Angie'sList, There general questions about management and product selection process. No questions on data science for which I was being interviewed. 
BoozAllenHamilton, Describe your most recent data science project briefly
Avanade, Tell us about a technology you are passionate about.
Airbnb, How would you impute missing information? 
Facebook, SQL; Approaches to solve business questions 
Xoriant, Mainly about Codes for different problem and structure of LSTM
S&PGlobalRatings, Tell me a time when you took the leadership role. 
Centris, how to make analysis faster
Airbnb, What do you like about our product?
LibertyMutualInsurance, Give an example when you help others in a course project.
Indeed, 1) Basic probability question on bayes theorem 2) Coding question on merging two lists and k lists. (Remeber lists not link lists) 3) Prussian horse shoe data set analysis on possion distribution Unfortunately I could not hear things clearly during the interview becuase the interviewers were mike was not proper. Indeed are looking for a full stack software developer who has data science knowledge
CivisAnalytics, the meaning of the hyperparameters in different sklearn models
ZestFinance, case interview was kind of different
Knewton, How has an analysis you have done impacted a product?
Spotify," do something, but we won't tell you what we're looking for."
Instacart," 1. We are observing this trend, what are possible explanations for why? 2. Behavioral (talk about a time when...) 3. SQL. Did not have live coding, only in the initial problem and take home portion "
Workday," give two sorted arrays, merge them into one array."
Uber, Explain how network effects might influence your choice of how to assign experimental/control units and measure your main outcome metrics
BloombergL.P.," They asked many questions about programing, Machine Learning, and system design. For the ML one of the questions they asked was about describing Support Vector Machines"
RealSelf," In three minutes, tell me a thing that can potentially impress me."
CKMAnalytix, Why are you interested in a career in data science?
J.P.Morgan, a lot of questions about machine learning algorithms
Jet, Tell me about something not on your resume
Uber, SQL & data structure 
Microsoft, Solve some coding problems
LivongoHealth, - Advanced SQL Questions - Whiteboard (R/Python) Questions - Quantitative B2C Marketing questions - Thought leadership questions - Inferential Statistics questions 
MScience," Out of millions of data, what approach do you take to make sure your model performs well. Q. Are you being opportunistic? What kind of question coming out of a hiring manager? And asking the question ""Being opportunistic""? I did not follow up at all."
SASScandinavianAirlines, They asked me how to solve fraud detection problem in credit card detection. They put several constraints to make the problem difficult
IntelCorporation, How to choose the 'k' value when doing K-means clustering?
Airbnb, All questions are directly related to the presentation. What does the gap represent in your graph?
KPMG, How to build model to classify highly unbalanced labels
"Quora,Inc.", Print the element of a matrix in the zig-zag manner.
Aetna, Give an example where you have designed experiments
HexaCorp, What skill would you apply to the field the most? (I had two choices to be a programmer or Data Analyst route)
Uber, Write out a function to calculate the AUC of an ROC curve. 
KIPPFoundation," R packages, Case study"
Uptake, What projects do you do to keep up with the new data science technologies?
XelayAcumen, what is your attitude to feedback? Introduce yourself? what do you expect from working in this company if you leave this company 2 years later?
Barnes&Noble, What would you do if you had a conflict with a staff member or manager?
LincolnCenter, What skills can you bring to Lincoln Center and what skills do you expect to learn through the internship?
IBM, How do you validate a machine learning model. 
VarsityTutors, About my background. Had to do a role play which was pretty simple. Why I want to work at Varsity Tutors?
Aetna, Give an example of experimental design you did
Uber, Solving several case studies with UBER
Facebook, SQL question + Case + Stats
BoozAllenHamilton," They mentioned a recent problem they had been working on, and asked me about my thoughts, and how I would approach the problem."
Explorys," I was given a story problem, and asked to design a database (on the whiteboard) that would store the needed data and explain why I chose to design it that way. Then I was asked to write out a SQL statement that would select a specific data set that met three criteria (date range, age and medical diagnosis). Then I defended my position based on a series of questions from the panel."
InfiniteAnalytics, Q : Customer recommendation based algorithms
Comcast, Let's go step by step through your resume
Abercrombie&Fitch, They asked me to take them through a project step by step
BuzzFeed, Why do you want to join buzzfeed?
Zenefits, 1. Probability Question 2. Open-ended case studies
Versive, Fit a model to data
CoffeeMeetsBagel, Explain the difference between normalization and regularization. 
CKMAnalytix, What will the prevalence of solar energy be in 2025 (give me a number)? Talk about projects you've worked on. Tell me about how the internet works.
CoffeeMeetsBagel, What project at your previous job are you most proud of? Why?
CoffeeMeetsBagel," If I called your current boss today, and asked him/her to describe you to me, what would they say? What is the most negative thing they would say?"
Facebook," How would add new Facebook members to the database of members, and code their relationships to others in the database?"
AdRollGroup, How would you evaluate the revenue being brought in by a show if you are Netflix? How would you decide whether or not to do a second season for a show?
Enterprise, On a scale from 1-10 how competitive are you?
Facebook," We at Facebook would like to develop a way to estimate the month and day of people's birthdays, regardless of whether people give us that information directly. What methods would you propose, and data would you use, to help with that task?"
Facebook," There's a game where you are given two fair six-sided dice and asked to roll. If the sum of the values on the dice equals seven, then you win $21. However, you must pay $5 to play each time you roll both dice. Do you play this game? And in follow-up: What is the probability of making money from this game?"
Instacart, How would you tune a random forest?
ExpressScripts, One printed a SAS output from a logistic regression and ask basic question how to interpret the results.
Barclays, How will you evaluate your model on email data set?
CapitalOne, (onsite) How would you explain the multinomial distribution and write python code on a whiteboard to represent this distribution
Facebook, What is the revenue by advertiser for the month of March? (From one table) What is the ROI for each advertiser for the same month? (Now there are two tables)
CapitalOne," General data analysis questions, data quality questions, general data science questions, some algorithm questions. Personality and some management and experience related questions."
CKMAnalytix, How do you learn new skills?
Facebook, easy SQL questions and product relative open-end questions.
ZestFinance, failure experience. team work experience. 
ZestFinance, Ask questions based on the resume
PartnersHealthCare, Tell me something about machine learning and deep learning 
Asana," The data analysis challenge consisted of an example data set in an AWS hosted database, with questions about identifying the most important predictors."
Wayfair, Did you have much machine learning experience during your academic career?
C3.ai, what activities of datascience are you interested in.
Adwerx, How do you get all rows from one database table with keys that do not appear in a different table?
CapitalOne, Explain the bias-variance tradeoff.
dataxu," Take-home test: statistical questions, machine learning questions, coding exercise (simulation)."
SambaTV," Prob, stats, ML, PM, coding (Python)."
YETICoolers, Why do you want to work at Yeti
YETICoolers, Do you have experience in Time Series data
MistSystems, Resume related questions and solving the problem they are trying to solve.
ProtectiveLife," a) Which companies have you applied to ? b) What is your dream company ? (You need to say Protective Life) c) Given a chance would you join a large sized, mid size or small sized company ? Now the fun begins where cross questioning the answer of which companies you applied to earlier and then says why did you answer mid-size when you applied to big companies ? There is also a thought when they say ""Seems you are interested only in sponsorship"" Extremely rude and truly disappointing"
ActiveCampaign, Where is Naive Bayes useful?
EXLService, Walk me through one of your past projects What are your go to approaches at solving any analytical problems?
TribunePublishing," Python, SQL, Machine Learning, NLP"
Assurant, How do you normally begin analysis?
EurofinsScientific, What is your career path? What are your strength and weakness?
HomeLight," How would you go about building a model for this problem, explain about different ML models, general tech talk."
KenshoTechnologies," Timeseries, multi-class classification"
CognitiveNetworks," If there are 30 groups of servers, each with an uptime of 0.99, and you select 1 at random, what is the probability that at least one server in the group chosen will be up?"
Halliburton, Resume related questions.
Microsoft, Simple probability questions that dealt with bayesian equations
Zipongo, What would distribution of likes/comments for every recipe look like?
Microsoft," Explain the bias variance tradeoff,"
McKinsey&Company, Data science knowledge. Case Studies. PEI.
Protagonist, How do you filter the outliers in the data?
Grubhub, Explain gradient boosting decision trees. 
Grubhub, What do you mean by “fitting the residuals”?
